2025-12-21 19:49:49,854 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 19:50:43,496 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 19:55:08,550 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:24:10,204 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:37:37,424 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:48:13,338 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-23 20:00:22,883 - INFO - Ep 290: Reward=55.8, Steps=31, MaxX=309, Flag=\u274c, \u03b5=0.142, Loss=81.7896, Q=34.89
2025-12-23 20:00:36,268 - INFO - Ep 300: Reward=118.1, Steps=114, MaxX=702, Flag=\u274c, \u03b5=0.131, Loss=81.7351, Q=36.13
2025-12-23 20:01:00,451 - INFO - Ep 310: Reward=-157.7, Steps=1478, MaxX=1119, Flag=\u274c, \u03b5=0.110, Loss=82.6753, Q=37.07
2025-12-23 20:01:34,388 - INFO - Ep 320: Reward=127.8, Steps=126, MaxX=684, Flag=\u274c, \u03b5=0.100, Loss=83.2941, Q=37.43
2025-12-23 20:01:39,665 - INFO - Ep 330: Reward=29.1, Steps=144, MaxX=687, Flag=\u274c, \u03b5=0.100, Loss=69.8110, Q=37.55
2025-12-23 20:02:15,057 - INFO - Ep 340: Reward=50.7, Steps=37, MaxX=295, Flag=\u274c, \u03b5=0.100, Loss=60.5996, Q=37.87
2025-12-23 20:02:22,731 - INFO - Ep 350: Reward=134.8, Steps=122, MaxX=704, Flag=\u274c, \u03b5=0.100, Loss=43.9005, Q=38.64
2025-12-23 20:02:54,806 - INFO - Ep 360: Reward=303.2, Steps=193, MaxX=1431, Flag=\u274c, \u03b5=0.100, Loss=44.1716, Q=39.49
2025-12-23 20:03:11,710 - INFO - Ep 370: Reward=32.6, Steps=40, MaxX=294, Flag=\u274c, \u03b5=0.100, Loss=59.2029, Q=39.74
2025-12-23 20:03:24,584 - INFO - Ep 380: Reward=139.3, Steps=92, MaxX=698, Flag=\u274c, \u03b5=0.100, Loss=44.5186, Q=40.46
